Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
23552060269,"Giấy vệ sinh treo tường TopGia đa sắc đa năng từ bột giấy thiên nhiên, 1280tờ/4lớp","129,0k",1tr+,TopGia HCM Store,13%,₫16.770,https://shopee.vn/product/1016604648/23552060269,https://s.shopee.vn/7AZc0A2JXf
25725120069,Bảo hành 6 tháng Quạt mini GOOJODOQ 100 tốc độ gió có thể điều chỉnh màn hình kỹ thuật số cầm tay,"349,0k",100k+,GoojodoqMall.VN,12%,₫41.880,https://shopee.vn/product/958778013/25725120069,https://s.shopee.vn/7Kt2CT1gCi
23119593211,[CHÍNH HÃNG ĐỦ 10 MÀU] Khẩu Trang 5D THỊNH PHÁT 3 Lớp Vải Không Dệt Kháng Khuẩn Lọc Bụi Mịn Tia UV,"55,0k",800k+,Hana - Khẩu Trang Thịnh Phát,14%,₫7.700,https://shopee.vn/product/13213141/23119593211,https://s.shopee.vn/7VCSOm12rl
21777308093,Thùng 10 gói khăn ướt Gumi không cồn không parabens cao cấp dành cho em bé,"175,0k",1tr+,Gumivn,14%,₫24.500,https://shopee.vn/product/801176484/21777308093,https://s.shopee.vn/7fVsb50PWo
29453106730,( Loại 1)  Quạt tích điện kẹp bàn mini để bàn 5 mức độ có đèn led pin 5000 MHA Và 10000 MHA cao cấp,"79,0k",100k+,Quỳnh Kool Mart,6%,₫4.740,https://shopee.vn/product/500024302/29453106730,https://s.shopee.vn/7ppInNzmBr
17532975547,"Thùng 30 gói giấy ăn rút Topgia 3 màu cao cấp 4 lớp dày dặn, mềm mịn, thùng 16/36/40/46/10 gói","65,0k",2tr+,TopGia HCM,14%,₫9.100,https://shopee.vn/product/729014007/17532975547,https://s.shopee.vn/5L7xon9IGO
27651438199,Áo chống nắng su lạnh 5D Enade  UPF 50+ Bảo Vệ Da UVF 95%,"255,0k",30k+,ENADE,13%,₫33.150,https://shopee.vn/product/993620777/27651438199,https://s.shopee.vn/5VRO168evR
29913722217,[Choice] Mũ lưỡi trai nam nữ Jussy Official thêu chữ Her form mềm thời trang Hàn Quốc,"29,0k",70k+,Jussy Official,17%,₫4.930,https://shopee.vn/product/22431875/29913722217,https://s.shopee.vn/5fkoDP81aU
29816681536,"Quạt gấp 180° im lặng GOOJODOQ siêu gió điều chỉnh 100 cấp độ, mini quạt di động, màn hình nguồn LED","269,0k",80k+,GoojodoqMall.VN,14%,₫37.660,https://shopee.vn/product/958778013/29816681536,https://s.shopee.vn/5q4EPi7OFX
22061511007,"Nước Giặt TopGia 3in1 Hương Huyền Diệu, Lavender Dịu Nhẹ Làm Sạch Vết Bẩn, Lưu Hương 72h, Túi 2L","79,0k",100k+,TopGia HCM Store,14%,₫11.060,https://shopee.vn/product/1016604648/22061511007,https://s.shopee.vn/60Nec16kua
