Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
25725120069,Bảo hành 6 tháng Quạt mini GOOJODOQ 100 tốc độ gió có thể điều chỉnh màn hình kỹ thuật số cầm tay,"249,0k",100k+,GoojodoqMall.VN,12%,₫29.880,https://shopee.vn/product/958778013/25725120069,https://s.shopee.vn/2g7U1h4vFB
23552060269,"Giấy vệ sinh treo tường TopGia đa sắc đa năng từ bột giấy thiên nhiên, 1280tờ/4lớp","129,0k",1tr+,TopGia HCM Store,13%,₫16.770,https://shopee.vn/product/1016604648/23552060269,https://s.shopee.vn/3B3kcc31EI
21777308093,Thùng 10 gói khăn ướt Gumi không cồn không parabens cao cấp dành cho em bé,"175,0k",300k+,Gumivn,14%,₫24.500,https://shopee.vn/product/801176484/21777308093,https://s.shopee.vn/30kKQJ3eZH
23119593211,[CHÍNH HÃNG ĐỦ 10 MÀU] Khẩu Trang 5D THỊNH PHÁT 3 Lớp Vải Không Dệt Kháng Khuẩn Lọc Bụi Mịn Tia UV,"55,0k",500k+,Hana - Khẩu Trang Thịnh Phát,14%,₫7.700,https://shopee.vn/product/13213141/23119593211,https://s.shopee.vn/3Vgb1E1kYO
29453106730,( Loại 1)  Quạt tích điện kẹp bàn mini để bàn 5 mức độ có đèn led pin 5000 MHA Và 10000 MHA cao cấp,"79,0k",100k+,Quỳnh Kool Mart,6%,₫4.740,https://shopee.vn/product/500024302/29453106730,https://s.shopee.vn/3LNAov2NtN
17532975547,"Thùng 30 gói giấy ăn rút Topgia 3 màu cao cấp 4 lớp dày dặn, mềm mịn, thùng 16/36/40/46/10 gói","65,0k",1tr+,TopGia HCM,14%,₫9.100,https://shopee.vn/product/729014007/17532975547,https://s.shopee.vn/3qJRPq0TsU
27651438199,Áo chống nắng su lạnh 5D Enade  UPF 50+ Bảo Vệ Da UVF 95%,"255,0k",40k+,ENADE,13%,₫33.150,https://shopee.vn/product/993620777/27651438199,https://s.shopee.vn/3g01DX17DT
26918347930,Ghế ISUNI BẢN ĐẶC BIỆT Ghế Tựa Lưng Chống Gù Ghế Công Thái Học Ứng Dụng 4 Sáng Chế Giảm Đau Mỏi Lưng,"340,0k",20k+,ISUNI_STORE,14%,₫47.600,https://shopee.vn/product/462214886/26918347930,https://s.shopee.vn/4AwHoRzDCa
29816681536,"Quạt gấp 180° im lặng GOOJODOQ siêu gió điều chỉnh 100 cấp độ, mini quạt di động, màn hình nguồn LED","269,0k",90k+,GoojodoqMall.VN,14%,₫37.660,https://shopee.vn/product/958778013/29816681536,https://s.shopee.vn/40crc8zqXZ
22061511007,"Nước Giặt TopGia 3in1 Hương Huyền Diệu Dịu Nhẹ Làm Sạch Vết Bẩn, Lưu Hương 72h, Túi 2L","78,0k",100k+,TopGia HCM Store,14%,₫10.920,https://shopee.vn/product/1016604648/22061511007,https://s.shopee.vn/4VZ8D3xwWg
