Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
29355565437,"Trang Trí Lò Xo Lắc Lư Trên Xe, Decor Ô tô, Xe Máy","12,0k",10k+,Mạnh Tuấn Autocar,14%,₫1.680,https://shopee.vn/product/401485839/29355565437,https://s.shopee.vn/7fW9z0KFeN
29819909518,[99k/7 Hộp] Lookme Star - Lông Mi Giả Sẵn Keo ( Tặng 1 nhíp / đơn hàng từ 3 hộp mi ),"27,7k",1tr+,Mi dán Lookme Star Việt Nam,9%,₫2.496,https://shopee.vn/product/240304467/29819909518,https://s.shopee.vn/6px2zTNQLE
23047676137,Miếng dán ngực silicone tàng hình cao cấp ADORE - Hàng chính hãng,"52,5k",200k+,ADORE by Global Glory,13%,₫6.825,https://shopee.vn/product/1014159935/23047676137,https://s.shopee.vn/6fdcnAO3gD
44468650157,Copep Xịt Sạch Tủ Lạnh Chai 100ml - Loại Bỏ Vết Bẩn Trên Tủ Lạnh & Bếp & Bàn Gỗ - Sản Phẩm Chính Hãng,"19,0k",10k+,Copep Việt Nam,14%,₫2.660,https://shopee.vn/product/1529947812/44468650157,https://s.shopee.vn/7AZtO5M9fK
22036904487,Thùng 48 Hộp Sữa Tươi Tiệt Trùng Vinamilk Green Farm Rất ít đường 180ml,"480,2k",300k+,vinamilk_official,6%,₫28.813,https://shopee.vn/product/975865932/22036904487,https://s.shopee.vn/70GTBmMn0J
9965714497,Bộ mặc nhà nữ cổ tim có Bigsize vải cotton lụa siêu mát❤Leeshu❤bộ đồ ngủ cổ tim mềm mát đi tập co giãn form rộng xẻ tà,"134,0k",60k+,LEESHU,17%,₫22.780,https://shopee.vn/product/400497211/9965714497,https://s.shopee.vn/6AhMCFPxhA
41650516364,Áo Lót Nữ Áo Bra Nữ Visecret Bra Áo Không Dây Nâng Vòng 1 Không Gọng Có Mút Đệm Gom Quả Chống Xệ -- 250455,"147,0k",700k+,VISECRET_BRA,17%,₫24.990,https://shopee.vn/product/1190625065/41650516364,https://s.shopee.vn/60NvzwQb29
29791476575,[KÈM MÚT] Áo hai dây nữ basic ôm dáng chất thun cotton mịn tôn dáng DAZZI Women A057,"49,0k",70k+,Dazzi Brand,17%,₫8.330,https://shopee.vn/product/852388548/29791476575,https://s.shopee.vn/6VKCarOh1G
8116815378,Tẩy Trắng Giày Plac HỖ TRỢ ĐỔI TRẢ TRONG 15 NGÀY ! - HỔ TRỢ ĐỔI TRẢ TRONG 7 NGÀY . .,"1,0k",0,PhamCuPhungQN,7%,₫70,https://shopee.vn/product/383145058/8116815378,https://s.shopee.vn/6L0mOYPKMF
22514539268,"Quần Tất BT10 BEBECHIC Tàng Hình, Che Khuyết Điểm, Thon Gọn Chân Cao Cấp (0D/5D/10D/15D/30D)","78,0k",600k+,BEBE CHIC,15%,₫11.700,https://shopee.vn/product/714557060/22514539268,https://s.shopee.vn/5VRfP1SV36
15800830018,Cần Câu Tay SHIMANO Cacbon Cao Cấp - GIÁ SIÊU RẺ do Lão Ngư Phân Phối,"27,0k",100k+,Đồ Câu Cá Lão Ngư,13%,₫3.510,https://shopee.vn/product/583609978/15800830018,https://s.shopee.vn/5L8FCiT8O5
26855280505,Áo 2 Dây Nữ Chất Tăm Dáng Ôm Basic Nữ,"19,0k",60k+,Chew Berry,9%,₫1.710,https://shopee.vn/product/711707322/26855280505,https://s.shopee.vn/5q4VndRENC
24058606414,"POSY_[COMBO GIA ĐÌNH] - MUA 2 BỊCH GVS POSY 10 CUỘN 3 LỚP CÓ LÕI - KHÔNG LÕI mềm mịn, tiết kiệm cho gia đình","131,0k",200k+,POSY VIET NAM STORE,"12,5%",₫15.720,https://shopee.vn/product/658242548/24058606414,https://s.shopee.vn/5fl5bKRriB
5589708136,[QUÀ TẶNG KHÁCH VIP] Miếng Dán Mèo Thần Tài gắn ốp lưng điện thoại Mạ Vàng Mang Tới Tài Lộc [SKY 8899],"100,0k",600k+,SHOP PHỤ KIỆN SKY,14%,₫14.000,https://shopee.vn/product/449168894/5589708136,https://s.shopee.vn/AADUxbAja4
24151840489,Nạo inox 304 Đa Năng 3 In 1 Nạo Gọt Rau Củ Quả Bào Sợi Siêu Sắc không rỉ,"9,7k",70k+,Gia Dụng 2H,6%,₫582,https://shopee.vn/product/1124996528/24151840489,https://s.shopee.vn/9zu4lIBMv3
40903967992,Áo kiểu cổ rộng dáng bồng Miho House,"95,0k",30k+,miho.house,14%,₫13.300,https://shopee.vn/product/5570691/40903967992,https://s.shopee.vn/AUqLMD9SuA
48454096251,[có lớp seal bảo vệ] Gương checkin lồi mini 9.5cm chụp ảnh du lịch Gương tròn Ngoài trời Đạo cụ chụp ảnh góc rộng,"29,9k",30k+,Shopcuagau16,6%,₫1.793,https://shopee.vn/product/27111075/48454096251,https://s.shopee.vn/AKWv9uA6F9
40806892110,"Miếng lót mũ bảo hiểm 6 nhánh thoáng khí,chống biến dạng bên trong.Miếng lót đệm bảo vệ đầu an toàn","9,9k",50k+,MAI HONG PHONG,8%,₫792,https://shopee.vn/product/859686/40806892110,https://s.shopee.vn/9UxoANDGw0
2087139371,"Kem chống nắng Sunplay cực mạnh, ngừa đen sạm da hiệu quả dạng sữa Sunplay Super Block SPF 50+, PA++++ 70g","163,0k",100k+,sunplay.officialstore,9%,₫14.670,https://shopee.vn/product/138781248/2087139371,https://s.shopee.vn/9KeNy4DuGz
51451657755,Áo Thun Nữ Tay Bồng Viền Chun Nhún Ngực Nhẹ Nhàng Nữ Tính Chất Thun Cotton Co Giãn HEIMI,"79,9k",10k+,HEIMI,16%,₫12.784,https://shopee.vn/product/1315369684/51451657755,https://s.shopee.vn/9paeYzC0G6
22336908933,Thùng 48 hộp Sữa Non Vinamilk Dielac Grow Plus (Sữa Uống Dinh Dưỡng) 110ml|Có thể nhận Bao Bì Cũ/Mới,"449,9k",100k+,vinamilk_official,6%,₫26.993,https://shopee.vn/product/975865932/22336908933,https://s.shopee.vn/9fHEMgCdb5
24186780544,Áo thun trơn MMESTLINE Basic form Boxy vải premium Cotton,"135,0k",50k+,MMESTLINE,15%,₫20.250,https://shopee.vn/product/973596221/24186780544,https://s.shopee.vn/8pi7N9FoHw
28423382158,HÀNG TẶNG KHÔNG BÁN - Trial size - Sữa rửa mặt sen Hậu Giang Cocoon 50ml,"74,0k",100k+,Cocoon Vietnam Chính Hãng,12%,₫8.880,https://shopee.vn/product/175753395/28423382158,https://s.shopee.vn/8fOhAqGRcv
11709341987,BỘ NGỦ NỮ CAXA 🦋 SET PIJAMA MẶC NHÀ 2 MÀU XANH CAM🦋,"27,5k",100k+,NASU MAY -XƯỞNG MAY THỜI TRANG,9%,₫2.475,https://shopee.vn/product/30142553/11709341987,https://s.shopee.vn/9AKxllEXc2
42811592099,[QUÀ TẶNG KHÔNG BÁN] 1 Gói Dùng Thử 20ml Nước Xả Vải Đậm Đặc Hygiene - Dịu Êm,"500,0k",100k+,I.P. ONE Vietnam,4%,₫20.000,https://shopee.vn/product/1479423124/42811592099,https://s.shopee.vn/901XZSFAx1
13976167937,[THE SAEM] Che khuyết điểm chống nắng che phủ cao THE SAEM Cover Perfection Tip Concealer,"116,0k",200k+,the SAEM Official Store,14%,₫16.240,https://shopee.vn/product/208011437/13976167937,https://s.shopee.vn/8ASQZvILds
